user_id,acquisition_channel,install_date
user_159,Facebook Ads,2025-06-03
user_160,Facebook Ads,2025-06-02
user_161,Facebook Ads,2025-06-17
user_162,Facebook Ads,2025-06-24
user_163,Google Ads,2025-05-23
user_164,TikTok Ads,2025-07-01
user_165,Google Ads,2025-05-24
user_166,Facebook Ads,2025-06-06
user_167,TikTok Ads,2025-06-04
user_168,Google Ads,2025-06-13
user_169,Facebook Ads,2025-06-09
user_170,Google Ads,2025-05-22
user_171,Facebook Ads,2025-05-27
user_172,Facebook Ads,2025-06-04
user_173,Unity Ads,2025-05-01
user_174,Facebook Ads,2025-06-04
user_175,Google Ads,2025-06-06
user_176,TikTok Ads,2025-06-16
user_177,TikTok Ads,2025-05-14
user_178,Facebook Ads,2025-05-03
user_179,Facebook Ads,2025-05-01
user_180,Facebook Ads,2025-05-05
user_181,Google Ads,2025-05-26
user_182,Google Ads,2025-06-24
user_183,Facebook Ads,2025-05-14
user_184,Unity Ads,2025-06-08
user_185,Google Ads,2025-05-27
user_186,Facebook Ads,2025-05-09
user_187,Google Ads,2025-05-15
user_188,Google Ads,2025-05-15
user_189,Facebook Ads,2025-05-26
user_190,Facebook Ads,2025-06-11
user_191,TikTok Ads,2025-06-29
user_192,Google Ads,2025-05-13
user_193,Google Ads,2025-06-20
user_194,Google Ads,2025-06-01
user_195,Facebook Ads,2025-06-08
user_196,Facebook Ads,2025-06-18
user_197,Google Ads,2025-06-21
user_198,Facebook Ads,2025-06-30
user_199,Facebook Ads,2025-06-01
user_200,TikTok Ads,2025-05-04
user_201,Unity Ads,2025-05-30
user_202,TikTok Ads,2025-06-06
user_203,TikTok Ads,2025-05-23
user_204,Facebook Ads,2025-06-08
user_205,Unity Ads,2025-06-14
user_206,Facebook Ads,2025-05-15
user_207,Unity Ads,2025-06-12
user_208,Unity Ads,2025-05-29
user_209,TikTok Ads,2025-06-05
user_210,Unity Ads,2025-05-13
user_211,Google Ads,2025-06-01
user_212,Facebook Ads,2025-05-07
user_213,Google Ads,2025-06-28
user_214,Google Ads,2025-06-20
user_215,Facebook Ads,2025-05-22
user_216,Google Ads,2025-05-28
user_217,Unity Ads,2025-05-02
user_218,Facebook Ads,2025-06-11
user_219,TikTok Ads,2025-06-14
user_220,Unity Ads,2025-07-01
user_221,Unity Ads,2025-06-26
user_222,Unity Ads,2025-06-22
user_223,Google Ads,2025-05-06
user_224,Unity Ads,2025-05-28
user_225,TikTok Ads,2025-05-28
user_226,Facebook Ads,2025-06-13
user_227,Google Ads,2025-06-13
user_228,TikTok Ads,2025-05-20
user_229,Facebook Ads,2025-05-30
user_230,Google Ads,2025-07-01
user_231,Google Ads,2025-05-11
user_232,Facebook Ads,2025-06-27
user_233,Google Ads,2025-06-24
user_234,TikTok Ads,2025-05-28
user_235,Google Ads,2025-05-25
user_236,Facebook Ads,2025-06-08
user_237,Facebook Ads,2025-07-01
user_238,Facebook Ads,2025-06-02
user_239,Unity Ads,2025-05-01
user_240,Facebook Ads,2025-06-26
user_241,Google Ads,2025-05-27
user_242,Facebook Ads,2025-07-01
user_243,Facebook Ads,2025-06-26
user_244,TikTok Ads,2025-06-21
user_245,TikTok Ads,2025-05-13
user_246,Facebook Ads,2025-06-10
user_247,Google Ads,2025-05-03
user_248,Facebook Ads,2025-06-08
user_249,Google Ads,2025-05-06
user_250,Google Ads,2025-05-08
user_251,Facebook Ads,2025-05-27
user_252,Facebook Ads,2025-05-09
user_253,Facebook Ads,2025-07-01
user_254,Unity Ads,2025-06-06
user_255,Unity Ads,2025-06-02
user_256,Facebook Ads,2025-06-20
user_257,TikTok Ads,2025-06-11
user_258,Facebook Ads,2025-06-13
user_259,Facebook Ads,2025-05-24
user_260,TikTok Ads,2025-05-15
user_261,Unity Ads,2025-06-28
user_262,Unity Ads,2025-06-23
user_263,Google Ads,2025-06-01
user_264,Facebook Ads,2025-06-01
user_265,TikTok Ads,2025-05-24
user_266,Facebook Ads,2025-06-10
user_267,Google Ads,2025-06-21
user_268,Facebook Ads,2025-06-18
user_269,Google Ads,2025-07-01
user_270,Facebook Ads,2025-06-18
user_271,Facebook Ads,2025-06-27
user_272,Unity Ads,2025-06-21
user_273,Facebook Ads,2025-05-12
user_274,Google Ads,2025-07-01
user_275,Facebook Ads,2025-06-08
user_276,Facebook Ads,2025-05-02
user_277,Facebook Ads,2025-05-03
user_278,Facebook Ads,2025-06-18
user_279,TikTok Ads,2025-06-06
user_280,Facebook Ads,2025-06-18
user_281,Unity Ads,2025-06-25
user_282,Google Ads,2025-05-17
user_283,Google Ads,2025-06-28
user_284,Google Ads,2025-06-18
user_285,Google Ads,2025-05-02
user_286,TikTok Ads,2025-05-02
user_287,Facebook Ads,2025-05-28
user_288,Facebook Ads,2025-06-23
user_289,TikTok Ads,2025-05-23
user_290,Unity Ads,2025-06-06
user_291,TikTok Ads,2025-06-01
user_292,Google Ads,2025-06-02
user_293,TikTok Ads,2025-05-01
user_294,Google Ads,2025-05-19
user_295,Google Ads,2025-07-01
user_296,Facebook Ads,2025-05-02
user_297,Google Ads,2025-06-22
user_298,Facebook Ads,2025-06-13
user_299,Facebook Ads,2025-05-26
user_300,TikTok Ads,2025-06-01
user_301,Facebook Ads,2025-05-06
user_302,Facebook Ads,2025-06-01
user_303,Facebook Ads,2025-06-24
user_304,Unity Ads,2025-05-04
user_305,Google Ads,2025-06-24
user_306,Google Ads,2025-05-11
user_307,TikTok Ads,2025-06-25
user_308,TikTok Ads,2025-06-28
user_309,Facebook Ads,2025-05-17
user_310,Google Ads,2025-06-07
user_311,TikTok Ads,2025-05-24
user_312,Google Ads,2025-05-05
user_313,Facebook Ads,2025-06-21
user_314,TikTok Ads,2025-06-03
user_315,Google Ads,2025-05-06
user_316,Facebook Ads,2025-05-22
user_317,Google Ads,2025-05-11
user_318,Facebook Ads,2025-06-17
user_319,Facebook Ads,2025-05-16
user_320,TikTok Ads,2025-06-02
user_321,Facebook Ads,2025-05-09
user_322,Google Ads,2025-06-29
user_323,Google Ads,2025-06-28
user_324,Facebook Ads,2025-05-06
user_325,Unity Ads,2025-05-16
user_326,Facebook Ads,2025-05-29
user_327,Facebook Ads,2025-05-03
user_328,Facebook Ads,2025-05-20
user_329,Facebook Ads,2025-06-29
user_330,Facebook Ads,2025-06-28
user_331,TikTok Ads,2025-06-05
user_332,Unity Ads,2025-05-19
user_333,Facebook Ads,2025-05-26
user_334,Google Ads,2025-05-03
user_335,TikTok Ads,2025-05-19
user_336,TikTok Ads,2025-05-20
user_337,Google Ads,2025-06-01
user_338,Facebook Ads,2025-05-07
user_339,Facebook Ads,2025-06-21
user_340,TikTok Ads,2025-06-10
user_341,TikTok Ads,2025-06-02
user_342,Facebook Ads,2025-06-09
user_343,Facebook Ads,2025-06-08
user_344,Unity Ads,2025-05-18
user_345,TikTok Ads,2025-06-09
user_346,Unity Ads,2025-05-01
user_347,TikTok Ads,2025-05-11
user_348,Facebook Ads,2025-05-28
user_349,Google Ads,2025-06-26
user_350,Google Ads,2025-05-25
user_351,Facebook Ads,2025-06-19
user_352,Google Ads,2025-05-23
user_353,TikTok Ads,2025-05-31
user_354,Facebook Ads,2025-05-30
user_355,TikTok Ads,2025-06-11
user_356,Google Ads,2025-06-04
user_357,Unity Ads,2025-05-07
user_358,Facebook Ads,2025-06-29
user_359,Facebook Ads,2025-05-16
user_360,Google Ads,2025-05-26
user_361,Facebook Ads,2025-06-17
user_362,TikTok Ads,2025-06-26
user_363,TikTok Ads,2025-06-21
user_364,Facebook Ads,2025-06-29
user_365,Google Ads,2025-06-18
user_366,Google Ads,2025-05-02
user_367,Facebook Ads,2025-05-01
user_368,Unity Ads,2025-06-17
user_369,TikTok Ads,2025-07-01
user_370,Google Ads,2025-05-12
user_371,TikTok Ads,2025-05-05
user_372,Google Ads,2025-06-06
user_373,Unity Ads,2025-06-01
user_374,Google Ads,2025-06-28
user_375,TikTok Ads,2025-06-24
user_376,TikTok Ads,2025-05-09
user_377,Facebook Ads,2025-06-10
user_378,TikTok Ads,2025-06-04
user_379,Facebook Ads,2025-05-19
user_380,Facebook Ads,2025-06-17
user_381,Facebook Ads,2025-05-16
user_382,Unity Ads,2025-05-03
user_383,TikTok Ads,2025-05-20
user_384,TikTok Ads,2025-05-24
user_385,TikTok Ads,2025-06-23
user_386,Google Ads,2025-06-25
user_387,Unity Ads,2025-06-02
user_388,Google Ads,2025-05-24
user_389,Facebook Ads,2025-06-21
user_390,Facebook Ads,2025-05-11
user_391,TikTok Ads,2025-06-18
user_392,TikTok Ads,2025-05-08
user_393,Facebook Ads,2025-06-05
user_394,Facebook Ads,2025-06-07
user_395,TikTok Ads,2025-06-09
user_396,Facebook Ads,2025-05-20
user_397,TikTok Ads,2025-07-01
user_398,Unity Ads,2025-06-04
user_399,Google Ads,2025-06-17
user_400,Facebook Ads,2025-07-01
user_401,TikTok Ads,2025-05-25
user_402,TikTok Ads,2025-06-04
user_403,Google Ads,2025-05-25
user_404,Unity Ads,2025-05-29
user_405,Facebook Ads,2025-05-18
user_406,Google Ads,2025-06-15
user_407,TikTok Ads,2025-05-18
user_408,TikTok Ads,2025-05-02
user_409,Facebook Ads,2025-06-23
user_410,TikTok Ads,2025-06-04
user_411,Google Ads,2025-05-16
user_412,Facebook Ads,2025-06-30
user_413,Facebook Ads,2025-06-10
user_414,TikTok Ads,2025-06-05
user_415,Facebook Ads,2025-06-02
user_416,Facebook Ads,2025-05-04
user_417,Facebook Ads,2025-06-02
user_418,TikTok Ads,2025-05-14
user_419,Google Ads,2025-05-21
user_420,TikTok Ads,2025-06-17
user_421,Facebook Ads,2025-05-20
user_422,Google Ads,2025-06-25
user_423,Google Ads,2025-05-08
user_424,TikTok Ads,2025-05-07
user_425,Unity Ads,2025-05-03
user_426,Facebook Ads,2025-05-17
user_427,Google Ads,2025-06-02
user_428,Facebook Ads,2025-06-17
user_429,Google Ads,2025-05-12
user_430,Facebook Ads,2025-06-28
user_431,Facebook Ads,2025-06-20
user_432,Facebook Ads,2025-05-22
user_433,Google Ads,2025-06-24
user_434,Facebook Ads,2025-05-22
user_435,TikTok Ads,2025-06-15
user_436,Google Ads,2025-05-30
user_437,Facebook Ads,2025-06-07
user_438,TikTok Ads,2025-06-07
user_439,Facebook Ads,2025-06-14
user_440,Google Ads,2025-06-20
user_441,Google Ads,2025-06-23
user_442,Facebook Ads,2025-05-08
user_443,Facebook Ads,2025-05-27
user_444,Facebook Ads,2025-05-27
user_445,Unity Ads,2025-06-03
user_446,Google Ads,2025-05-21
user_447,Google Ads,2025-05-30
user_448,Google Ads,2025-06-02
user_449,Facebook Ads,2025-05-28
user_450,Google Ads,2025-06-16
user_451,TikTok Ads,2025-06-02
user_452,Facebook Ads,2025-05-05
user_453,Facebook Ads,2025-06-29
user_454,Facebook Ads,2025-06-30
user_455,Google Ads,2025-06-17
user_456,Unity Ads,2025-05-19
user_457,Facebook Ads,2025-05-04
user_458,Google Ads,2025-06-04
user_459,Facebook Ads,2025-06-18
user_460,Unity Ads,2025-05-17
user_461,Facebook Ads,2025-06-13
user_462,Google Ads,2025-05-28
user_463,TikTok Ads,2025-05-30
user_464,TikTok Ads,2025-05-29
user_465,Google Ads,2025-06-15
user_466,Facebook Ads,2025-06-22
user_467,Facebook Ads,2025-05-06
user_468,Facebook Ads,2025-06-04
user_469,Facebook Ads,2025-06-29
user_470,Google Ads,2025-06-10
user_471,Facebook Ads,2025-06-06
user_472,Facebook Ads,2025-05-24
user_473,Google Ads,2025-05-29
user_474,Unity Ads,2025-06-18
user_475,Google Ads,2025-06-15
user_476,Facebook Ads,2025-06-22
user_477,Facebook Ads,2025-05-31
user_478,Unity Ads,2025-06-04
user_479,Facebook Ads,2025-06-29
user_480,Facebook Ads,2025-06-02
user_481,Google Ads,2025-06-21
user_482,Google Ads,2025-06-30
user_483,Google Ads,2025-05-21
user_484,Facebook Ads,2025-06-01
user_485,Facebook Ads,2025-05-23
user_486,Unity Ads,2025-06-02
user_487,Facebook Ads,2025-05-03
user_488,Google Ads,2025-05-18
user_489,TikTok Ads,2025-05-25
user_490,Google Ads,2025-06-11
user_491,Facebook Ads,2025-05-31
user_492,Facebook Ads,2025-06-23
user_493,Google Ads,2025-06-27
user_494,TikTok Ads,2025-05-03
user_495,Unity Ads,2025-06-09
user_496,Facebook Ads,2025-06-15
user_497,Facebook Ads,2025-05-24
user_498,Unity Ads,2025-06-19
user_499,TikTok Ads,2025-06-01
user_500,TikTok Ads,2025-06-16
user_501,Facebook Ads,2025-05-22
user_502,Google Ads,2025-05-23
user_503,TikTok Ads,2025-05-02
user_504,Google Ads,2025-05-27
user_505,Google Ads,2025-06-11
user_506,Facebook Ads,2025-05-02
user_507,Google Ads,2025-05-26
user_508,Facebook Ads,2025-05-17
user_509,Google Ads,2025-06-09
user_510,Unity Ads,2025-06-02
user_511,Facebook Ads,2025-05-09
user_512,TikTok Ads,2025-06-12
user_513,Facebook Ads,2025-06-23
user_514,Google Ads,2025-06-17
user_515,Unity Ads,2025-06-08
user_516,Facebook Ads,2025-05-29
user_517,Facebook Ads,2025-06-11
user_518,Google Ads,2025-06-24
user_519,Facebook Ads,2025-05-26
user_520,TikTok Ads,2025-06-04
user_521,Unity Ads,2025-06-19
user_522,Google Ads,2025-05-25
user_523,Facebook Ads,2025-05-24
user_524,Google Ads,2025-05-13
user_525,TikTok Ads,2025-06-29
user_526,Facebook Ads,2025-06-27
user_527,Google Ads,2025-05-07
user_528,Google Ads,2025-06-26
user_529,Google Ads,2025-06-05
user_530,Facebook Ads,2025-06-14
user_531,TikTok Ads,2025-05-20
user_532,Facebook Ads,2025-05-01
user_533,Facebook Ads,2025-05-08
user_534,TikTok Ads,2025-06-15
user_535,TikTok Ads,2025-05-16
user_536,Facebook Ads,2025-05-14
user_537,Facebook Ads,2025-05-12
user_538,Facebook Ads,2025-06-20
user_539,Facebook Ads,2025-05-23
user_540,Facebook Ads,2025-05-15
user_541,Facebook Ads,2025-05-28
user_542,Google Ads,2025-06-03
user_543,TikTok Ads,2025-05-02
user_544,Google Ads,2025-06-01
user_545,Google Ads,2025-05-23
user_546,Facebook Ads,2025-05-22
user_547,Unity Ads,2025-06-20
user_548,TikTok Ads,2025-05-25
user_549,TikTok Ads,2025-06-27
user_550,TikTok Ads,2025-07-01
user_551,Unity Ads,2025-06-30
user_552,Google Ads,2025-05-22
user_553,Facebook Ads,2025-06-27
user_554,Google Ads,2025-06-27
user_555,TikTok Ads,2025-05-22
user_556,TikTok Ads,2025-06-18
user_557,Google Ads,2025-06-21
user_558,Facebook Ads,2025-06-11
user_559,Facebook Ads,2025-05-06
user_560,Unity Ads,2025-05-15
user_561,Google Ads,2025-06-23
user_562,Google Ads,2025-06-12
user_563,Facebook Ads,2025-06-29
user_564,Facebook Ads,2025-06-06
user_565,TikTok Ads,2025-06-02
user_566,Google Ads,2025-05-08
user_567,TikTok Ads,2025-06-22
user_568,Google Ads,2025-06-29
user_569,Google Ads,2025-06-13
user_570,Facebook Ads,2025-06-13
user_571,TikTok Ads,2025-05-05
user_572,Google Ads,2025-06-08
user_573,Google Ads,2025-05-04
user_574,Google Ads,2025-05-06
user_575,Unity Ads,2025-06-14
user_576,Facebook Ads,2025-06-01
user_577,TikTok Ads,2025-06-21
user_578,Facebook Ads,2025-05-30
user_579,Google Ads,2025-06-16
user_580,Facebook Ads,2025-06-04
user_581,Facebook Ads,2025-06-24
user_582,Google Ads,2025-06-09
user_583,Facebook Ads,2025-06-21
user_584,Google Ads,2025-05-16
user_585,Unity Ads,2025-05-13
user_586,Facebook Ads,2025-06-19
user_587,TikTok Ads,2025-06-29
user_588,Google Ads,2025-06-11
user_589,Google Ads,2025-05-30
user_590,Facebook Ads,2025-05-19
user_591,Facebook Ads,2025-05-17
user_592,Facebook Ads,2025-06-25
user_593,Facebook Ads,2025-05-19
user_594,Facebook Ads,2025-05-28
user_595,Google Ads,2025-06-27
user_596,TikTok Ads,2025-06-24
user_597,TikTok Ads,2025-05-26
user_598,Google Ads,2025-06-06
user_599,Facebook Ads,2025-05-26
user_600,Facebook Ads,2025-06-22
user_601,Facebook Ads,2025-07-01
user_602,Facebook Ads,2025-05-23
user_603,Google Ads,2025-05-09
user_604,Google Ads,2025-05-12
user_605,Facebook Ads,2025-06-22
user_606,Facebook Ads,2025-05-01
user_607,TikTok Ads,2025-06-27
user_608,TikTok Ads,2025-06-27
user_609,Facebook Ads,2025-05-01
user_610,Unity Ads,2025-06-16
user_611,Unity Ads,2025-06-03
user_612,Facebook Ads,2025-06-01
user_613,Facebook Ads,2025-07-01
user_614,Google Ads,2025-06-23
user_615,Unity Ads,2025-06-17
user_616,TikTok Ads,2025-05-25
user_617,Facebook Ads,2025-06-09
user_618,Facebook Ads,2025-06-14
user_619,Google Ads,2025-06-22
user_620,Google Ads,2025-05-01
user_621,Facebook Ads,2025-05-16
user_622,TikTok Ads,2025-06-30
user_623,Google Ads,2025-06-08
user_624,TikTok Ads,2025-05-05
user_625,TikTok Ads,2025-05-22
user_626,TikTok Ads,2025-05-29
user_627,Google Ads,2025-06-24
user_628,Google Ads,2025-05-03
user_629,Facebook Ads,2025-05-12
user_630,Google Ads,2025-05-26
user_631,Facebook Ads,2025-05-16
user_632,Google Ads,2025-06-20
user_633,Facebook Ads,2025-06-06
user_634,Facebook Ads,2025-05-22
user_635,Facebook Ads,2025-06-26
user_636,Facebook Ads,2025-05-29
user_637,TikTok Ads,2025-05-14
user_638,TikTok Ads,2025-05-28
user_639,Google Ads,2025-05-05
user_640,Facebook Ads,2025-06-16
user_641,Facebook Ads,2025-06-18
user_642,Facebook Ads,2025-05-30
user_643,Facebook Ads,2025-06-15
user_644,TikTok Ads,2025-07-01
user_645,Facebook Ads,2025-06-21
user_646,Facebook Ads,2025-05-05
user_647,Facebook Ads,2025-05-12
user_648,Facebook Ads,2025-05-16
user_649,Google Ads,2025-05-26
user_650,Google Ads,2025-05-26
user_651,Facebook Ads,2025-06-17
user_652,Facebook Ads,2025-05-21
user_653,Facebook Ads,2025-06-08
user_654,Facebook Ads,2025-06-05
user_655,Facebook Ads,2025-06-02
user_656,Unity Ads,2025-07-01
user_657,Google Ads,2025-05-30
user_658,Google Ads,2025-06-06
user_659,Google Ads,2025-05-23
user_660,Google Ads,2025-06-27
user_661,Google Ads,2025-05-10
user_662,Google Ads,2025-06-23
user_663,TikTok Ads,2025-05-05
user_664,Facebook Ads,2025-06-05
user_665,Google Ads,2025-06-03
user_666,Google Ads,2025-06-21
user_667,TikTok Ads,2025-05-31
user_668,Google Ads,2025-05-10
user_669,Google Ads,2025-06-27
user_670,Facebook Ads,2025-05-19
user_671,Google Ads,2025-06-27
user_672,Facebook Ads,2025-06-01
user_673,Facebook Ads,2025-05-01
user_674,Facebook Ads,2025-06-25
user_675,Google Ads,2025-05-05
user_676,Facebook Ads,2025-06-14
user_677,Facebook Ads,2025-05-04
user_678,TikTok Ads,2025-05-16
user_679,Facebook Ads,2025-05-24
user_680,Google Ads,2025-05-16
user_681,Google Ads,2025-06-24
user_682,Facebook Ads,2025-05-02
user_683,TikTok Ads,2025-06-18
user_684,Facebook Ads,2025-05-28
user_685,Google Ads,2025-06-01
user_686,Google Ads,2025-05-27
user_687,Google Ads,2025-05-20
user_688,Google Ads,2025-05-24
user_689,Facebook Ads,2025-05-12
user_690,Facebook Ads,2025-06-19
user_691,TikTok Ads,2025-06-04
user_692,Google Ads,2025-06-29
user_693,TikTok Ads,2025-06-02
user_694,TikTok Ads,2025-06-02
user_695,TikTok Ads,2025-06-30
user_696,Google Ads,2025-06-20
user_697,Facebook Ads,2025-06-12
user_698,TikTok Ads,2025-06-06
user_699,Google Ads,2025-05-12
user_700,Facebook Ads,2025-05-03
user_701,TikTok Ads,2025-05-01
user_702,TikTok Ads,2025-06-02
user_703,Google Ads,2025-06-09
user_704,Facebook Ads,2025-05-10
user_705,Facebook Ads,2025-06-12
user_706,TikTok Ads,2025-06-13
user_707,Unity Ads,2025-05-29
user_708,Facebook Ads,2025-05-13
user_709,Facebook Ads,2025-05-12
user_710,TikTok Ads,2025-05-31
user_711,Facebook Ads,2025-06-15
user_712,Google Ads,2025-05-02
user_713,Unity Ads,2025-06-30
user_714,Facebook Ads,2025-06-20
user_715,Google Ads,2025-06-19
user_716,Facebook Ads,2025-06-04
user_717,Facebook Ads,2025-05-23
user_718,TikTok Ads,2025-05-17
user_719,Google Ads,2025-05-26
user_720,Unity Ads,2025-05-08
user_721,Google Ads,2025-05-29
user_722,Facebook Ads,2025-05-26
user_723,Facebook Ads,2025-05-10
user_724,Facebook Ads,2025-05-26
user_725,Facebook Ads,2025-07-01
user_726,Facebook Ads,2025-06-03
user_727,Facebook Ads,2025-06-20
user_728,Google Ads,2025-06-10
user_729,TikTok Ads,2025-05-07
user_730,Google Ads,2025-05-04
user_731,TikTok Ads,2025-06-27
user_732,Facebook Ads,2025-06-22
user_733,Facebook Ads,2025-06-19
user_734,Google Ads,2025-06-14
user_735,Google Ads,2025-05-11
user_736,Facebook Ads,2025-05-29
user_737,TikTok Ads,2025-06-25
user_738,TikTok Ads,2025-06-05
user_739,Google Ads,2025-05-25
user_740,Facebook Ads,2025-05-21
user_741,TikTok Ads,2025-06-30
user_742,Google Ads,2025-06-26
user_743,TikTok Ads,2025-06-05
user_744,TikTok Ads,2025-05-10
user_745,TikTok Ads,2025-06-06
user_746,Google Ads,2025-05-09
user_747,Facebook Ads,2025-05-24
user_748,Google Ads,2025-06-04
user_749,Google Ads,2025-06-18
user_750,TikTok Ads,2025-06-04
user_751,Facebook Ads,2025-06-17
user_752,Facebook Ads,2025-06-05
user_753,TikTok Ads,2025-05-18
user_754,TikTok Ads,2025-06-18
user_755,Unity Ads,2025-06-08
user_756,TikTok Ads,2025-06-01
user_757,Google Ads,2025-05-24
user_758,Google Ads,2025-05-23
user_759,TikTok Ads,2025-07-01
user_760,Google Ads,2025-06-01
user_761,Google Ads,2025-06-06
